Begin date/time is: Thu Mar 23 20:57:56 2017
 	used time is 0 s 0 ms.
line num is :111 
Gen = 1, PopScale = 80, Average Cost = 3976.050000, Average Fit = 0.369486, Min Cost = 3165, Current MinCost = 3165, Current worstCost = 4736
Gen = 185, PopScale = 80, Average Cost = 2466.637500, Average Fit = 0.008452, Min Cost = 2136, Current MinCost = 2290, Current worstCost = 3126
Gen = 186, PopScale = 80, Average Cost = 2438.200000, Average Fit = 0.008283, Min Cost = 2136, Current MinCost = 2290, Current worstCost = 2767
Gen = 187, PopScale = 80, Average Cost = 2570.637500, Average Fit = 0.008159, Min Cost = 2136, Current MinCost = 2409, Current worstCost = 3268
Gen = 188, PopScale = 80, Average Cost = 2542.525000, Average Fit = 0.007991, Min Cost = 2136, Current MinCost = 2136, Current worstCost = 2782
Gen = 189, PopScale = 80, Average Cost = 2560.975000, Average Fit = 0.008017, Min Cost = 2136, Current MinCost = 2416, Current worstCost = 3268
Gen = 190, PopScale = 80, Average Cost = 2556.337500, Average Fit = 0.007981, Min Cost = 2136, Current MinCost = 2385, Current worstCost = 3306
Gen = 191, PopScale = 80, Average Cost = 2555.975000, Average Fit = 0.007786, Min Cost = 2136, Current MinCost = 2409, Current worstCost = 2988
Gen = 192, PopScale = 80, Average Cost = 2555.687500, Average Fit = 0.007667, Min Cost = 2136, Current MinCost = 2416, Current worstCost = 2696
Gen = 193, PopScale = 80, Average Cost = 2563.575000, Average Fit = 0.007625, Min Cost = 2136, Current MinCost = 2416, Current worstCost = 2696
Gen = 194, PopScale = 80, Average Cost = 2551.050000, Average Fit = 0.007689, Min Cost = 2136, Current MinCost = 2416, Current worstCost = 3206
Gen = 195, PopScale = 80, Average Cost = 2548.262500, Average Fit = 0.007624, Min Cost = 2136, Current MinCost = 2416, Current worstCost = 3256
Gen = 196, PopScale = 80, Average Cost = 2553.162500, Average Fit = 0.007641, Min Cost = 2136, Current MinCost = 2416, Current worstCost = 3206
Gen = 197, PopScale = 80, Average Cost = 2534.525000, Average Fit = 0.007453, Min Cost = 2136, Current MinCost = 2416, Current worstCost = 2764
Gen = 198, PopScale = 80, Average Cost = 2458.200000, Average Fit = 0.008131, Min Cost = 2136, Current MinCost = 2136, Current worstCost = 3578
Gen = 199, PopScale = 80, Average Cost = 2572.462500, Average Fit = 0.007425, Min Cost = 2136, Current MinCost = 2290, Current worstCost = 2988
Gen = 200, PopScale = 80, Average Cost = 2430.800000, Average Fit = 0.007796, Min Cost = 2136, Current MinCost = 2136, Current worstCost = 2926
2136
End date/time is: Thu Mar 23 20:57:56 2017
 	used time is 0 s 428 ms.
